id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CDX1	4	0.21568	0.26686	0.991458	363	1	0.1007	0.034592	0.071018	0.941308	101	2	0.1007
FOSB	4	0.083469	0.14074	0.954076	197	1	0.17645	0.034692	0.071113	0.941308	102	2	0.17645
ZNF701	4	0.74722	0.74801	0.996523	991	0	0.090661	0.035412	0.072066	0.941308	103	2	0.090661
IL12RB1	4	0.97554	0.97542	0.996523	1322	0	0.1589	0.035654	0.072462	0.941308	104	2	0.1589
GABPA	4	0.082082	0.13882	0.954076	194	1	0.03308	0.036852	0.074257	0.948912	105	2	0.03308
FOXA3	4	0.73212	0.73262	0.996523	971	0	0.22675	0.037741	0.075481	0.948912	106	2	0.22675
PHOX2B	4	0.98241	0.98258	0.996523	1328	0	0.21764	0.03829	0.076339	0.948912	107	2	0.21764
ZNF766	4	0.051493	0.094118	0.947965	134	2	0.0039038	0.039081	0.077475	0.948912	108	2	0.0039038
TNF	4	0.98452	0.98486	0.996523	1334	0	0.072621	0.039727	0.078479	0.948912	109	1	0.072621
HEY1	4	0.045457	0.085536	0.947965	121	1	-0.062672	0.040445	0.079563	0.948912	110	1	-0.062672
MESP2	4	0.79622	0.79811	0.996523	1063	0	0.20221	0.041007	0.080326	0.948912	111	2	0.20221
HIC1	4	0.65927	0.6599	0.996523	875	0	0.032809	0.041162	0.080494	0.948912	112	1	0.032809
CSF1	4	0.14363	0.21805	0.978542	301	1	0.044912	0.041332	0.080685	0.948912	113	2	0.044912
GATA4	4	0.90778	0.90788	0.996523	1207	0	0.019675	0.041879	0.081513	0.948912	114	1	0.019675
ESRRB	4	0.96454	0.96475	0.996523	1299	0	0.1915	0.042149	0.081901	0.948912	115	2	0.1915
MYB	4	0.48286	0.48473	0.996523	638	1	0.16878	0.042808	0.08292	0.948912	116	2	0.16878
NR1D1	4	0.9396	0.93969	0.996523	1261	0	0.097145	0.044027	0.084862	0.948912	117	1	0.097145
ESR2	4	0.59021	0.59102	0.996523	773	0	0.065582	0.044138	0.084987	0.948912	118	2	0.065582
ZBTB49	4	0.9433	0.9432	0.996523	1269	0	0.099462	0.045147	0.086694	0.948912	119	2	0.099462
SETDB1	4	0.97055	0.9706	0.996523	1309	0	0.041639	0.045457	0.087068	0.948912	120	1	0.041639
TBX18	4	0.60109	0.60199	0.996523	790	0	0.27799	0.045656	0.087376	0.948912	121	2	0.27799
ZNF679	4	0.90299	0.90342	0.996523	1200	0	0.078465	0.045825	0.087618	0.948912	122	2	0.078465
HOXB9	4	0.10046	0.16493	0.959361	229	2	-0.059426	0.046172	0.088145	0.948912	123	1	-0.059426
NKX3-1	4	0.80764	0.80997	0.996523	1073	0	0.1054	0.047886	0.090608	0.948912	124	2	0.1054
EHF	4	0.97658	0.97643	0.996523	1323	0	0.13425	0.049456	0.092865	0.948912	125	2	0.13425
ZNF589	4	0.52865	0.52947	0.996523	694	0	0.049812	0.049632	0.093077	0.948912	126	2	0.049812
ZNF484	4	0.38959	0.40167	0.996523	531	1	-0.087991	0.049738	0.093224	0.948912	127	1	-0.087991
ZNF443	4	0.13967	0.21547	0.978542	295	1	0.20254	0.050338	0.094125	0.948912	128	2	0.20254
OLIG2	4	0.31817	0.34404	0.996523	460	1	0.0094981	0.05045	0.094287	0.948912	129	1	0.0094981
FOXB2	4	0.061789	0.10986	0.954076	150	1	-0.03963	0.051873	0.096192	0.948912	130	1	-0.03963
SCX	4	0.41177	0.42028	0.996523	558	1	0.093972	0.052584	0.097152	0.948912	131	1	0.093972
FOXC2	4	0.051048	0.093554	0.947965	132	2	-0.10097	0.053295	0.098303	0.948912	132	1	-0.10097
HOXD4	4	0.38086	0.3944	0.996523	521	1	-0.085102	0.054005	0.099351	0.948912	133	1	-0.085102
PBX4	4	0.61538	0.61597	0.996523	814	0	0.13534	0.05466	0.10024	0.948912	134	2	0.13534
ZNF563	4	0.50506	0.5057	0.996523	663	1	0.12449	0.055424	0.10136	0.948912	135	1	0.12449
TRERF1	4	0.97327	0.97328	0.996523	1318	0	0.11309	0.057062	0.10381	0.948912	136	2	0.11309
FOXN1	4	0.58181	0.58266	0.996523	768	0	0.012982	0.057549	0.1045	0.948912	137	1	0.012982
NANOG	4	0.9177	0.91794	0.996523	1224	0	0.24685	0.05781	0.10483	0.948912	138	2	0.24685
ZNF7	4	0.34928	0.36863	0.996523	491	1	0.1076	0.057998	0.10513	0.948912	139	2	0.1076
FOXO3	4	0.37412	0.3887	0.996523	514	1	0.14326	0.059318	0.10727	0.948912	140	2	0.14326
ZNF883	4	0.75115	0.75211	0.996523	1001	0	0.098869	0.059508	0.1076	0.948912	141	2	0.098869
ZNF570	4	0.20296	0.25802	0.984368	354	1	-0.019955	0.059671	0.10788	0.948912	142	1	-0.019955
EGFP	13	0.10841	0.25539	0.981867	244	2	0.075464	0.059724	0.17262	0.948912	143	4	0.075464
ZNF415	4	0.18248	0.2446	0.981867	336	1	-0.095269	0.060377	0.10892	0.948912	144	1	-0.095269
TP63	4	0.97263	0.97274	0.996523	1316	0	0.15904	0.060842	0.10963	0.948912	145	2	0.15904
TFAP2D	4	0.85462	0.85603	0.996523	1137	0	0.019865	0.061083	0.11001	0.948912	146	1	0.019865
ZFP92	4	0.56303	0.56427	0.996523	745	0	0.094068	0.061789	0.11118	0.948912	147	2	0.094068
ZSCAN22	4	0.16903	0.23533	0.981867	320	1	-0.0035752	0.062494	0.11215	0.948912	148	1	-0.0035752
TCF21	4	0.86936	0.87028	0.996523	1157	0	0.154	0.062575	0.11223	0.948912	149	2	0.154
ZFHX2	4	0.79147	0.79356	0.996523	1054	0	0.16022	0.063352	0.11334	0.948912	150	2	0.16022
MSANTD3	4	0.63972	0.64014	0.996523	846	0	-0.033398	0.063904	0.11418	0.948912	151	1	-0.033398
ZNF181	4	0.54362	0.54422	0.996523	718	0	0.099919	0.064524	0.11513	0.948912	152	2	0.099919
TLX2	4	0.93506	0.93536	0.996523	1255	0	0.15709	0.064608	0.11531	0.948912	153	2	0.15709
TGFB1	4	0.15347	0.22458	0.980469	310	1	-0.0052433	0.065114	0.11616	0.948912	154	2	-0.0052433
TBP	4	0.33086	0.35368	0.996523	470	1	0.044159	0.066015	0.11735	0.948912	155	1	0.044159
TGFBR1	4	0.71375	0.71449	0.996523	947	0	0.12959	0.066101	0.11748	0.948912	156	2	0.12959
FKBPL	4	0.096755	0.15955	0.959361	222	2	0.018212	0.066299	0.11772	0.948912	157	2	0.018212
PDCD1	4	0.39087	0.40276	0.996523	534	1	0.13868	0.066795	0.1183	0.948912	158	2	0.13868
RBPJL	4	0.51803	0.51859	0.996523	682	0	0.17152	0.067293	0.11902	0.948912	159	2	0.17152
LIN28B	4	0.65229	0.65289	0.996523	863	0	-0.04905	0.06742	0.11923	0.948912	160	1	-0.04905
ZBTB1	4	0.55743	0.55859	0.996523	741	0	0.08779	0.068494	0.12081	0.948912	161	2	0.08779
GLI1	4	0.94534	0.94538	0.996523	1274	0	0.20603	0.068824	0.12137	0.948912	162	1	0.20603
OTX1	4	0.83333	0.83549	0.996523	1106	0	0.11931	0.069525	0.12227	0.948912	163	1	0.11931
EN1	4	0.14231	0.21721	0.978542	299	1	0.063314	0.069907	0.12282	0.948912	164	2	0.063314
VENTX	4	0.8889	0.88992	0.996523	1178	0	0.064492	0.070226	0.12326	0.948912	165	1	0.064492
HOXB13	4	0.94575	0.94576	0.996523	1275	0	0.07941	0.070927	0.12407	0.948912	166	1	0.07941
ZNF283	4	0.22428	0.27302	0.992066	370	1	0.10511	0.073026	0.12688	0.948912	167	1	0.10511
